city,CO,NO2,O3,SO2,PM2.5,PM10
Carson,320.44,25.71,85.83,9.18,5.03,11.47
Everett,440.6,45.24,28.97,6.02,7.52,11.8
Citrus Heights,310.42,13.71,57.22,4.17,6.46,12.24
North Little Rock,253.68,3.98,52.21,0.81,2.89,3.14
Atascocita,203.61,7.28,92.98,3.99,4.33,10.51
Erie,257.02,5.57,65.8,2.06,1.41,1.74
Fresno,423.91,29.82,87.26,8.11,22.86,26.5
Jacksonville,226.97,2.29,113.01,0.7,8.92,11.44
High Point,216.96,2.61,80.82,0.35,3.01,4.24
Pearland,203.61,2.91,90.12,1.0,3.72,9.52
Brownsville,216.96,1.59,74.39,0.81,2.99,4.03
Denton,240.33,3.77,52.21,0.34,1.84,1.88
San Bernardino,208.62,2.46,82.97,0.41,2.26,10.77
Mesquite,273.71,8.05,35.76,0.76,3.61,4.06
Sioux Falls,216.96,0.62,85.83,0.04,0.5,0.75
Charleston,273.71,3.0,123.02,1.16,20.14,23.03
Redwood City,410.56,38.39,60.8,9.42,14.43,18.54
Paradise,211.95,2.74,75.1,0.83,1.87,9.07
Upland,213.62,3.17,94.41,0.86,1.49,3.58
Paterson,303.75,13.88,64.37,3.16,9.96,13.29
Pasco,273.71,6.43,43.63,0.32,4.05,6.27
Lubbock,208.62,2.01,68.67,0.14,0.54,0.74
Schenectady,300.41,12.68,36.84,0.4,3.26,3.52
Worcester,307.08,15.94,36.84,0.54,2.69,3.63
Cedar Park,201.94,1.71,36.12,0.59,3.3,4.93
Pembroke Pines,216.96,6.86,72.24,1.55,2.29,4.03
West Covina,198.6,1.67,92.98,0.48,1.05,3.38
Edmond,220.3,2.91,73.67,5.78,0.78,1.21
Columbia,223.64,2.16,84.4,1.0,11.52,14.65
Raleigh,240.33,4.41,91.55,2.03,12.27,14.69
Compton,320.44,25.71,85.83,9.18,5.03,11.47
Amarillo,206.95,1.44,71.53,0.25,0.83,2.37
Chesapeake,260.35,3.21,88.69,1.49,17.62,19.9
Glendale,220.3,6.86,86.55,1.65,1.76,6.99
Corona,223.64,3.09,95.84,0.7,1.39,5.28
Broken Arrow,226.97,5.4,74.39,2.83,0.92,1.5
Fort Lauderdale,213.62,4.41,70.1,1.25,1.84,3.3
Fayetteville,233.65,2.64,62.94,0.33,1.28,2.2
Hartford,363.83,24.68,36.48,1.24,6.07,9.07
Athens-Clarke County unified government,233.65,5.23,87.26,3.99,10.82,15.43
Warwick,233.65,9.34,53.64,1.85,0.62,1.04
Charlotte,226.97,2.7,92.98,1.15,8.1,10.53
Jersey City,323.77,20.22,61.51,4.05,10.42,14.17
Westminster,250.34,25.71,39.34,8.35,1.83,2.26
Long Beach,487.33,73.34,98.71,42.92,17.48,29.71
Coral Springs,208.62,3.0,77.96,1.09,2.07,3.92
Spokane Valley,287.06,8.23,53.64,0.43,2.99,4.95
Mayagüez,205.28,0.41,18.6,0.26,0.5,0.52
San Diego,230.31,4.16,108.72,1.21,2.28,6.28
Chandler,247.0,7.03,118.73,2.33,5.98,16.77
Pine Hills,230.31,4.76,124.45,1.64,6.1,9.24
Tulsa,226.97,4.28,75.82,1.97,0.94,1.47
Hawthorne,320.44,25.71,85.83,9.18,5.03,11.47
Portland,453.95,37.01,16.63,4.23,9.83,13.54
Tampa,287.06,19.36,94.41,1.46,4.55,8.86
Arlington,270.37,8.74,42.56,0.95,3.34,3.67
Sunrise Manor,211.95,2.74,75.1,0.83,1.87,9.07
Longmont,290.39,9.6,67.95,0.48,6.79,8.63
Macon,226.97,5.48,78.68,7.51,18.18,22.52
Arden-Arcade,460.63,35.99,43.99,10.37,19.65,25.32
Redlands,193.6,1.03,82.97,0.23,1.44,6.7
Anchorage,240.33,0.64,53.64,0.25,0.5,0.63
Missoula,297.07,7.37,64.37,0.66,5.61,6.71
Mobile,213.62,1.91,101.57,0.94,5.51,8.2
Newton,473.98,36.33,7.15,1.45,8.36,13.44
Baton Rouge,223.64,11.48,105.86,6.62,5.49,8.77
Cincinnati,263.69,7.45,67.23,3.46,2.41,3.16
Longview,230.31,4.16,37.19,0.51,6.66,10.29
Santa Rosa,283.72,8.14,78.68,0.86,3.17,4.6
Fairfield,223.64,2.96,74.39,0.21,1.86,4.43
Centennial,226.97,7.8,85.83,3.46,3.34,4.52
Fremont,453.95,42.16,54.36,12.28,17.21,24.56
New Braunfels,208.62,6.86,53.64,0.22,2.32,4.59
Elk Grove,460.63,35.99,43.99,10.37,19.65,25.32
Norfolk,257.02,5.36,90.12,1.76,14.85,17.05
Pompano Beach,216.96,3.81,80.82,1.52,2.24,4.1
Redondo Beach,320.44,25.71,85.83,9.18,5.03,11.47
Jackson,213.62,4.37,78.68,0.69,6.3,12.0
Saint Petersburg,547.41,38.73,0.0,38.15,10.84,12.74
Casas Adobes,213.62,1.0,127.32,0.45,5.77,15.71
Gilbert,230.31,4.93,115.87,1.8,4.77,14.73
Fargo,236.99,1.32,64.37,0.16,0.5,0.52
Kansas City,270.37,14.57,60.08,5.72,1.84,3.06
Berkeley,460.63,42.16,34.33,16.93,11.6,17.23
Santa Clara,440.6,45.24,62.23,14.19,20.8,27.48
Kansas City,270.37,14.57,60.08,5.72,1.84,3.06
Maple Grove,226.97,1.52,76.53,1.49,0.5,0.71
Lynchburg,216.96,2.1,68.67,0.7,1.9,2.1
Yonkers,347.14,24.33,55.08,4.53,10.91,15.53
Toms River,287.06,11.65,82.25,4.53,13.89,17.13
Cambridge,226.97,5.74,60.8,0.97,0.5,0.74
Spring Valley,216.96,6.51,87.98,2.77,3.74,9.31
Wilmington,273.71,7.11,80.11,2.35,9.75,11.2
Edinburg,236.99,15.59,47.92,3.58,1.36,1.61
Glendale,220.3,6.86,86.55,1.65,1.76,6.99
Abilene,223.64,2.87,58.65,0.31,1.24,1.28
Bismarck,233.65,2.31,52.93,2.5,0.5,0.71
Lawton,223.64,2.74,67.95,1.82,0.73,0.97
Rockford,230.31,1.0,79.39,0.2,0.74,1.16
Redding,270.37,6.43,49.35,0.54,3.61,12.17
Johnson City,211.95,2.53,62.94,0.41,3.5,4.24
San Tan Valley,211.95,1.67,118.73,0.51,5.0,14.53
Provo,317.1,14.91,85.83,6.56,22.18,24.38
Deerfield Beach,216.96,3.81,80.82,1.52,2.24,4.1
Alexandria,201.94,5.83,90.84,18.84,6.83,12.72
Portland,453.95,37.01,16.63,4.23,9.83,13.54
East Los Angeles,236.99,9.25,86.55,2.27,2.35,6.51
Warren,243.66,4.46,75.82,1.49,1.19,1.66
Auburn,213.62,1.67,75.1,0.69,10.83,15.04
Kissimmee,216.96,3.09,103.0,0.47,4.66,7.34
