city,CO,NO2,O3,SO2,PM2.5,PM10
Sterling Heights,243.66,4.46,75.82,1.49,1.19,1.66
Miami Beach,203.61,2.66,79.39,1.49,2.53,6.28
Victoria,343.8,21.59,40.05,2.53,5.13,7.12
Des Moines,216.96,1.32,84.4,0.76,0.74,1.41
Bolingbrook,236.99,2.72,78.68,0.64,0.89,1.51
Bloomington,236.99,2.12,77.25,1.09,2.33,2.75
The Villages,223.64,1.21,103.0,0.2,4.98,8.12
Oxnard,223.64,1.95,105.86,0.58,2.3,8.22
West Valley City,210.29,4.63,69.38,3.1,2.28,3.91
Appleton,230.31,2.27,80.11,1.12,0.57,0.85
Gastonia,216.96,1.56,94.41,0.81,6.03,7.98
Deltona,213.62,4.84,128.75,0.94,6.5,10.43
Greenville,206.95,1.09,86.55,0.38,4.34,6.24
Salt Lake City,210.29,4.63,69.38,3.1,2.28,3.91
Westminster,250.34,25.71,39.34,8.35,1.83,2.26
Bayonne,220.3,0.95,92.98,0.43,0.5,0.58
Homestead,201.94,1.97,76.53,1.0,2.3,5.98
Jackson,213.62,4.37,78.68,0.69,6.3,12.0
Camarillo,200.27,0.62,98.71,0.14,1.81,6.74
Santa Fe,180.24,0.56,73.67,0.14,1.23,2.67
Little Rock,253.68,3.98,52.21,0.81,2.89,3.14
Boston,587.46,47.98,1.79,4.11,10.99,14.79
Lynn,353.81,26.05,21.82,1.3,2.96,3.94
Tallahassee,210.29,1.15,94.41,0.14,6.56,8.17
San Antonio,270.37,23.65,41.49,6.62,5.42,7.37
Winston-Salem,208.62,1.09,80.11,0.24,2.28,3.17
Rock Hill,223.64,1.99,89.41,0.84,11.3,14.18
Dallas,303.75,15.42,32.9,2.0,4.31,4.86
Cary,240.33,4.41,91.55,2.03,12.27,14.69
Parma,383.85,7.71,48.64,0.35,12.62,13.42
Carmel,233.65,1.82,80.82,0.43,1.53,1.91
Saint Cloud,273.71,7.71,67.23,1.31,1.9,2.76
Delray Beach,211.95,3.3,72.24,0.97,1.55,3.19
West Palm Beach,206.95,2.1,72.24,0.52,1.38,3.85
Clovis,216.96,3.13,95.84,1.24,5.83,9.13
Seattle,433.92,43.87,27.9,7.39,7.74,11.81
El Paso,340.46,13.02,57.94,4.65,4.15,6.82
Arlington Heights,236.99,2.7,78.68,0.56,0.84,1.36
New Rochelle,410.56,40.78,38.98,6.62,12.26,19.06
Saint Joseph,220.3,2.14,76.53,0.81,0.74,1.64
Surprise,201.94,0.52,114.44,0.33,2.81,9.9
Flower Mound,247.0,4.41,50.78,0.35,2.26,2.32
Bloomington,236.99,2.12,77.25,1.09,2.33,2.75
Newport News,236.99,1.52,92.98,1.57,13.91,15.92
Elgin,230.31,1.39,78.68,0.24,0.73,1.16
Bridgeport,403.88,35.3,45.06,4.05,11.75,16.57
Tracy,273.71,11.65,54.36,2.18,3.6,9.91
Orem,317.1,14.91,85.83,6.56,22.18,24.38
Stamford,393.87,30.5,42.56,2.71,11.26,15.93
Warner Robins,213.62,1.5,95.84,0.45,10.95,15.13
Allen,247.0,4.5,45.42,0.28,2.7,2.83
Sunrise,223.64,6.43,74.39,1.8,2.48,4.02
Pharr,216.96,3.21,61.51,4.71,2.14,2.51
Milpitas,453.95,42.16,54.36,12.28,17.21,24.56
Passaic,303.75,13.88,64.37,3.16,9.96,13.29
Lawrence,226.97,3.86,73.67,11.68,0.86,1.4
East Orange,323.77,20.22,61.51,4.05,10.42,14.17
Alameda,417.23,39.07,50.07,8.94,12.29,16.42
South Gate,320.44,25.71,85.83,9.18,5.03,11.47
Rochester,260.35,4.76,62.94,0.85,0.54,0.83
San Ramon,203.61,2.27,62.23,0.07,0.5,0.97
Durham,247.0,5.23,89.41,2.03,14.27,16.63
League City,205.28,4.46,92.98,2.12,3.91,9.56
Folsom,327.11,17.48,61.51,3.93,6.23,12.62
Alafaya,220.3,7.37,114.44,4.29,4.4,7.63
Richardson,273.71,9.25,39.7,0.81,3.49,3.7
Aurora,230.31,1.46,80.82,0.36,0.74,1.3
Palmdale,201.94,0.8,90.12,0.2,2.57,13.46
Riverside,220.3,3.0,91.55,0.71,1.79,7.83
Gaithersburg,243.66,5.48,79.39,2.5,4.26,4.68
Highlands Ranch,226.97,7.8,85.83,3.46,3.34,4.52
Albuquerque,191.93,1.5,77.96,0.51,2.23,6.64
Jacksonville,226.97,2.29,113.01,0.7,8.92,11.44
El Monte,236.99,9.25,86.55,2.27,2.35,6.51
Santa Clarita,206.95,1.06,92.98,0.24,2.33,11.55
Memphis,270.37,6.68,49.35,2.8,4.99,5.59
Hillsboro,420.57,29.47,25.75,2.77,10.23,13.82
Vista,213.62,2.12,107.29,0.55,1.66,5.13
Las Vegas,211.95,2.74,75.1,0.83,1.87,9.07
Turlock,343.8,20.56,45.78,12.88,8.77,15.41
Pawtucket,383.85,28.45,13.05,0.89,3.99,7.05
Chico,247.0,2.44,59.37,0.29,4.53,12.65
Naperville,236.99,2.72,78.68,0.64,0.89,1.51
Yuma,213.62,1.13,94.41,1.43,8.51,50.07
Lancaster,253.68,5.1,76.53,1.54,5.89,6.62
Goodyear,213.62,1.11,121.59,0.51,4.1,12.48
Lakewood,203.61,3.34,87.98,1.52,1.73,2.77
Nashville,260.35,11.65,52.93,10.85,4.31,5.02
Caguas,230.31,0.3,30.04,0.22,0.55,0.82
Federal Way,473.98,40.44,18.77,4.41,9.09,13.51
Downey,1028.06,135.72,57.94,30.99,52.41,67.73
Irving,260.35,7.28,42.92,0.54,3.05,3.24
Manchester,247.0,19.36,45.42,5.66,1.2,1.49
Waukesha,226.97,1.26,80.11,0.35,0.63,0.93
Weston,226.97,1.41,75.1,0.53,0.5,0.71
Palo Alto,921.25,106.93,18.95,20.98,48.2,66.17
Stockton,397.21,17.48,33.98,3.19,11.9,17.76
Austin,337.12,24.68,16.81,2.83,6.74,11.09
Broomfield,230.31,5.74,82.97,4.23,4.67,5.84
Philadelphia,313.76,17.82,74.39,6.14,12.84,15.02
Columbus,257.02,5.31,71.53,1.03,2.41,2.69
Reading,220.3,3.6,65.09,0.5,0.5,0.66
Mission Viejo,333.79,8.31,107.29,2.18,8.27,12.42
New Orleans,216.96,5.27,100.14,2.41,4.58,7.96
Reno,307.08,16.11,55.08,2.0,11.51,27.89
Greensboro,213.62,4.24,78.68,5.31,3.5,4.9
Saint Paul,240.33,4.46,75.1,1.07,0.55,0.86
Thousand Oaks,211.95,1.04,100.14,0.21,2.33,10.89
Duluth,240.33,4.54,63.66,2.53,0.5,0.97
Carolina,223.64,0.28,33.26,0.18,0.64,0.86
Kent,240.33,5.01,66.52,0.89,0.69,1.02
Melbourne,343.8,14.91,5.23,6.62,10.83,13.57
Minneapolis,230.31,2.16,77.25,0.57,0.5,0.76
San Buenaventura,205.28,0.71,103.0,0.26,2.08,5.88
Harlingen,213.62,1.61,69.38,0.55,2.34,2.9
San Leandro,660.9,80.88,25.39,24.56,25.25,35.21
Tyler,230.31,3.98,35.05,0.6,6.21,8.98
Lynwood,320.44,25.71,85.83,9.18,5.03,11.47
Gainesville,247.0,3.98,101.57,0.74,12.13,15.47
Miami Gardens,216.96,6.86,72.24,1.55,2.29,4.03
Chino Hills,520.71,50.04,66.52,9.78,15.75,29.15
Bellflower,1028.06,135.72,57.94,30.99,52.41,67.73
Camden,313.76,17.82,74.39,6.14,12.84,15.02
Guaynabo,230.31,0.3,30.04,0.22,0.55,0.82
Ponce,205.28,0.19,19.49,0.12,0.5,0.57
